initiative,naics_title,wages,jobs
Advanced & Traded Industries,Petroleum and Coal Products Manufacturing,217011.73541253124,3686.8737265403
AgriNovus,Pharmaceutical Preparation Manufacturing,215400.053977,391.938002998
BioCrossroads,Pharmaceutical Preparation Manufacturing,215400.053977,19596.9001499
Advanced & Traded Industries,Pharmaceutical and Medicine Manufacturing,209331.34405738895,22672.2638995497
AgriNovus,NA,209329.4974893201,14652.827545970898
AgriNovus,NA,209329.4974893201,2411.500009373
AgriNovus,NA,209329.4974893201,1353.91666643
AgriNovus,NA,209329.4974893201,670.623838097
AgriNovus,NA,209329.4974893201,1978.45860534
AgriNovus,NA,209329.4974893201,91.6666665337
AgriNovus,NA,209329.4974893201,40260.33305990319
AgriNovus,NA,209329.4974893201,7662.145167820199
AgriNovus,NA,209329.4974893201,11758.5545353189
AgriNovus,NA,209329.4974893201,3382.47453663
AgriNovus,NA,209329.4974893201,2192.97438868
AgriNovus,NA,209329.4974893201,517.083336175
AgriNovus,NA,209329.4974893201,2205.500003782
AgriNovus,NA,209329.4974893201,453.445277990994
AgriNovus,NA,209329.4974893201,3551.9733195468
AgriNovus,NA,209329.4974893201,1123.3195479895749
