cicp_initiative,geo_area,total_jobs,tech_jobs,nontech_jobs,tech_pct
Advanced and Traded Industries,Bloomington MSA,34868.05656007613,1889.0462014771213,32979.01035859901,5.417698569527032
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,2820550.90551658,205033.9182948572,2615516.987221723,7.2692862197183254
Advanced and Traded Industries,Cincinnati MSA,747917.2657408265,49638.34129988079,698278.9244409456,6.636875971931609
Advanced and Traded Industries,Columbus MSA,49985.716128323395,1619.1779025975598,48366.53822572584,3.2392811947333198
Advanced and Traded Industries,Elkhart-Goshen MSA,154004.30562324505,2357.644814160611,151646.66080908445,1.5308953893330328
Advanced and Traded Industries,Evansville MSA,80928.9406861243,2977.680446944282,77951.26023918003,3.6793765267396124
Advanced and Traded Industries,Fort Wayne MSA,152523.51522606626,6446.922712285202,146076.59251378104,4.226838532228782
Advanced and Traded Industries,Indiana,2214998.7704629987,102370.18541819006,2112628.5850448087,4.621681365393793
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,708888.1694094432,49352.696200569786,659535.4732088734,6.961986153850511
Advanced and Traded Industries,Kokomo MSA,24266.100024572286,459.8968198462144,23806.203204726073,1.8952234573356024
Advanced and Traded Industries,Lafayette-West Lafayette MSA,64662.90490792785,1851.8846191866896,62811.02028874116,2.863905699602499
Advanced and Traded Industries,Louisville/Jefferson County MSA,504145.5806390652,25023.588269585183,479121.99236948,4.963563944736911
Advanced and Traded Industries,Michigan City-La Porte MSA,26881.24107300659,420.0423940640926,26461.198678942495,1.5625855700758091
Advanced and Traded Industries,Muncie MSA,19067.770792728723,1000.7620553470072,18067.008737381715,5.248448107676207
Advanced and Traded Industries,South Bend-Mishawaka MSA,71346.05103521583,3343.3406993345843,68002.71033588125,4.686090751798356
Advanced and Traded Industries,Terre Haute MSA,33110.227068995264,610.001794444579,32500.22527455069,1.8423364876763124
Advanced and Traded Industries,United States,86216754.68868998,7651460.064683535,78565294.62400644,8.874678816561003
AgriNovus,Bloomington MSA,3971.4701636928553,16.52080367937509,3954.9493600134806,0.4159871029728016
AgriNovus,Chicago-Naperville-Elgin MSA,390933.92120106827,2699.5430052534284,388234.37819581485,0.6905369063292356
AgriNovus,Cincinnati MSA,100996.80610286316,530.2815176225106,100466.52458524065,0.5250478090192573
AgriNovus,Columbus MSA,2793.5543980723955,0.17771514473046,2793.376682927665,0.006361613894223315
AgriNovus,Elkhart-Goshen MSA,8314.131195008498,11.835211940246671,8302.295983068252,0.14235055548981596
AgriNovus,Evansville MSA,13396.927522193364,11.798326608173088,13385.129195585192,0.08806740641559767
AgriNovus,Fort Wayne MSA,16036.97425582838,58.33117751874057,15978.643078309638,0.36372932068242886
AgriNovus,Indiana,315238.4299410712,1122.2795738585316,314116.15036721266,0.3560097587303439
AgriNovus,Indianapolis-Carmel-Greenwood MSA,76913.83812111607,541.5579226389594,76372.2801984771,0.7041098661416028
AgriNovus,Kokomo MSA,1961.8665440977088,0.05401340866679999,1961.812530689042,0.0027531642674319392
AgriNovus,Lafayette-West Lafayette MSA,15950.511229402455,39.39313817666688,15911.118091225788,0.24697100682297468
AgriNovus,Louisville/Jefferson County MSA,62667.834031207705,296.75818125026876,62371.07584995744,0.4735414680240701
AgriNovus,Michigan City-La Porte MSA,7266.85233604992,0.170633377807185,7266.681702672113,0.002348105753583223
AgriNovus,Muncie MSA,1629.363816941065,0.94824263168244,1628.4155743093825,0.058197108701152564
AgriNovus,South Bend-Mishawaka MSA,7749.229555116039,13.08977756106175,7736.139777554978,0.16891714805918845
AgriNovus,Terre Haute MSA,5483.220650831984,0.76578806959275,5482.454862762391,0.013966026872848075
AgriNovus,United States,15870194.005433375,82397.50494564282,15787796.500487732,0.5191965827099084
BioCrossroads,Bloomington MSA,17524.495524503585,645.0533592659548,16879.44216523763,3.6808669234672715
BioCrossroads,Chicago-Naperville-Elgin MSA,153834.6063743595,11725.969364860372,142108.6370094991,7.622452217497147
BioCrossroads,Cincinnati MSA,29143.331165734682,2325.455724857025,26817.87544087766,7.979375149781036
BioCrossroads,Columbus MSA,881.9530412058208,15.613108035466539,866.3399331703542,1.7702879071792803
BioCrossroads,Elkhart-Goshen MSA,943.1088389996662,40.63120892225785,902.4776300774084,4.308220561834034
BioCrossroads,Evansville MSA,3365.574726959457,108.80204165217188,3256.7726853072854,3.232792330552895
BioCrossroads,Fort Wayne MSA,4228.207597673199,206.27156105236395,4021.9360366208352,4.878463421849865
BioCrossroads,Indiana,139999.34190571285,6759.519096870998,133239.82280884185,4.828250622366081
BioCrossroads,Indianapolis-Carmel-Greenwood MSA,63287.95550221452,3415.66755431982,59872.2879478947,5.3970262227862635
BioCrossroads,Kokomo MSA,181.15279071011213,15.851515477189793,165.30127523292234,8.750356765166272
BioCrossroads,Lafayette-West Lafayette MSA,4969.546337561644,225.66775677825913,4743.878580783385,4.541013232386625
BioCrossroads,Louisville/Jefferson County MSA,12501.560514300574,975.9057627400185,11525.654751560556,7.806271558048109
BioCrossroads,Michigan City-La Porte MSA,544.541430488672,9.190395674662588,535.3510348140094,1.6877312101698339
BioCrossroads,Muncie MSA,215.92708106614518,3.1820576199618484,212.74502344618332,1.4736723176409192
BioCrossroads,South Bend-Mishawaka MSA,3048.8215532482063,131.79196066125598,2917.0295925869505,4.322718084987466
BioCrossroads,Terre Haute MSA,1111.8948478449354,7.900848123986349,1103.993999720949,0.7105751177190632
BioCrossroads,United States,5054198.119675628,497724.9893334642,4556473.130342163,9.847753838454745
Conexus - Logistics,Bloomington MSA,4995.284315916774,0,4995.284315916774,0
Conexus - Logistics,Chicago-Naperville-Elgin MSA,713899.9542728637,0,713899.9542728637,0
Conexus - Logistics,Cincinnati MSA,180749.7057991236,0,180749.7057991236,0
Conexus - Logistics,Columbus MSA,6622.254493294946,0,6622.254493294946,0
Conexus - Logistics,Elkhart-Goshen MSA,22838.385701536565,0,22838.385701536565,0
Conexus - Logistics,Evansville MSA,23555.257489401294,0,23555.257489401294,0
Conexus - Logistics,Fort Wayne MSA,39163.87154689203,0,39163.87154689203,0
Conexus - Logistics,Indiana,617068.1508265482,0,617068.1508265482,0
Conexus - Logistics,Indianapolis-Carmel-Greenwood MSA,248464.34815937182,0,248464.34815937182,0
Conexus - Logistics,Kokomo MSA,4146.622659607684,0,4146.622659607684,0
Conexus - Logistics,Lafayette-West Lafayette MSA,13110.052189005115,0,13110.052189005115,0
Conexus - Logistics,Louisville/Jefferson County MSA,175228.17317701463,0,175228.17317701463,0
